V1,Date,USDPM,Value,DealDay,黄金涨幅,比特币涨幅,黄金15日均价,黄金15日乖离率,比特币5日均价,比特币5日乖离率,当前黄金投资占比,当前比特币投资占比,黄金投资风险,比特币投资风险,黄金持有份额,比特币持有份额,现金持有份额,总资产,总资产变化率,当前黄金利润,当前比特币利润,牛市,黄金15日后预计份额,预计黄金涨幅,比特币5日后预计份额,预计比特币涨幅,预计现金持有份额,预计总资产,预计总资产变化率,黄金牛市,gold_cow,比特币牛市,bt_cow,黄金购买风险,比特币购买风险,黄金预测spss_黄金涨幅_模型_1,黄金残差spss_黄金涨幅_模型_1,黄金预测spss_比特币涨幅_模型_1,黄金残差spss_比特币涨幅_模型_1
10,42634,1326.1,598.88,1,.63255939524838,.509487415996838,0,.571622156205499,.0097531710694674,.528063945554872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.438888888888889,-11,.683333333333333,11,.482650178016431,.630945293869772,.574152448614942,.0584069466334381,.511723214127924,-.00223579813108654
11,42635,1339.1,597.42,1,.63633909287257,.510014494663328,0,.571622156205499,.00972227031504572,.52923175063025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.433333333333333,-12,.7,12,.478950178016431,.642434172959873,.569349814962398,.0669892779101722,.511690500727789,-.00167600606446089
12,42636,1338.65,594.08,1,.563714902807776,.509882724996706,0,.571622156205499,.00966605792394599,.529538339561281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.427777777777778,-13,.716666666666667,13,.475250178016431,.653636267073907,.571201130245274,-.00748622743749769,.511659977773808,-.0017772527771018
13,42637,1338.65,603.88,0,.566144708423326,.510673342996442,0,.571622156205499,.00964578934178374,.559261660813205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.422222222222222,-14,.733333333333333,14,.471550178016431,.674634133050797,.569315313020113,-.00317060459678656,.511712819919586,-.00103947692314333
14,42638,1338.65,601.74,0,.566144708423326,.509948609830017,0,.571622156205499,.00962356135627459,.557243099754775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.416666666666667,-15,.75,15,.467850178016431,.68506195221834,.565628192255338,.000516516167988254,.511665719431787,-.00171710960176972
15,42639,1340.5,598.98,1,.576133909287257,.509948609830017,.664674376956165,.660377071217353,.00962388256993802,.549745038643598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.411111111111111,-16,.766666666666667,16,.493705564715379,.693665097868318,.569102154572356,.00703175471490067,.511742612617733,-.00179400278771574
16,42640,1327,605.96,1,.493250539956804,.510475688496508,.664754715717943,.588022265847733,.00965131421679469,.563925375481965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.405555555555556,-17,.783333333333333,17,.465911414527295,.709487150035494,.560790110682668,-.0675395707258642,.511710623040818,-.00123493454431028
17,42641,1322.5,605.67,1,.541846652267819,.51008037949664,.664716220061258,.564595652815464,.00968854288038588,.55688638012871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.4,-18,.8,18,.45441035238755,.718243164582861,.561498029637499,-.0196513773696807,.51170969193242,-.00162931243578033
18,42642,1318.1,603.85,1,.542386609071274,.510014494663328,.664594038194386,.542575113341945,.00968844651628685,.552026577684045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.394444444444444,-19,.816666666666667,19,.443377512742868,.727724850368787,.564541794181739,-.0221551851104655,.511776928551657,-.00176243388832878
19,42643,1322.5,609.39,1,.589902807775379,.510409803663197,.664985689658058,.561757272432927,.00971301936153902,.562738410265157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.388888888888889,-20,.833333333333333,20,.446065171720165,.742391890618297,.565015337587445,.0248874701879337,.511701794959311,-.00129199129611468
20,42644,1322.5,614.82,0,.566144708423326,.510409803663197,.665459353607712,.556773641204572,.00976389960582587,.568687341954477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.383333333333333,-21,.85,21,.440705622521123,.755472884870841,.565920627864353,.000224080558973352,.511644900326244,-.00123509666304747
21,42645,1322.5,612.98,0,.566144708423326,.510014494663328,.665933017557366,.55179709947738,.00978644880499845,.560041256004111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.377777777777778,-22,.866666666666667,22,.435348434125968,.763693738249369,.566058193589601,8.65148337256326E-005,.511660006223076,-.00164551155974736
22,42646,1313.3,611.85,1,.516468682505399,.510014494663328,.666098716253535,.501432486703539,.00980629980939824,.553759179090318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.372222222222222,-23,.883333333333333,23,.414877018072279,.772701806637076,.573721620011326,-.0572529375059269,.511733440105367,-.00171894544203895
23,42647,1283.3,609.62,1,.404157667386609,.509948609830017,.665042596280984,.353642761212631,.00982483383777798,.54481264507736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.366666666666667,-24,.9,24,.361963039483806,.780822610810761,.56890799933926,-.164750331952651,.511767431473639,-.00181882164362215
24,42648,1269.4,607.18,1,.491090712742981,.509948609830017,.663556329188076,.295111066319114,.00981773501581624,.539526281846278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.361111111111111,-25,.916666666666667,25,.338771985084265,.790162251854811,.571740518656746,-.0806498059137645,.511681041415792,-.0017324315857748
25,42649,1254.5,612.08,1,.485691144708423,.510343918829885,.661159556128341,.240185695859741,.00980893376143834,.553932922911979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.355555555555556,-26,.933333333333333,26,.316781836721294,.806059663329689,.56351907923568,-.0778279345272576,.511693407295463,-.00134948846557801
26,42650,1258.75,617.21,1,.589092872570194,.510409803663197,.658469881332954,.290194882859444,.0098225210994013,.56524858088326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.35,-27,.95,27,.329734895992195,.820927777434125,.568313802032077,.0207790705381175,.511718061856704,-.00130825819350694
27,42651,1258.75,614.74,0,.566144708423326,.509948609830017,.6557952700554,.317642818025649,.00983180417427435,.557187757747158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.344444444444444,-28,.966666666666667,28,.335175058402541,.829343523329804,.564819165801761,.0013255426215652,.511682496197031,-.00173388636701375
28,42652,1258.75,615.65,0,.566144708423326,.51008037949664,.653120658777846,.345315558688218,.009851173358179,.556394485799313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.338888888888889,-29,.983333333333333,29,.340690081043177,.840179363771171,.573967354947717,-.00782264652439077,.511704385595056,-.00162400609841582
29,42653,1259.5,617.54,1,.570194384449244,.510146264329951,.650471153363348,.377012179089997,.00988445109371004,.555896353136219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333333333333333,-30,1,30,.347545055636969,.851113485594361,.583149733001058,-.0129553485518143,.511724738256287,-.00157847392633566
30,42654,1253.45,614.77,1,.533477321814255,.509948609830017,.647557199524662,.374795396962134,.00989309174125623,.547212445456018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.327777777777778,-31,1,30,.343106867188391,.848221744336854,.578422658779033,-.0449453369647774,.511742282561965,-.0017936727319478
31,42655,1256.5,635.01,1,.582613390928726,.511398076162867,.645197248397409,.416364021479185,.00995026777334625,.590742064729352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.322222222222222,-32,1,30,.353249219152569,.862717107554874,.582029205929013,.000584184999712623,.511739896120294,-.000341819957426788
32,42656,1261.05,635.96,1,.590712742980561,.51008037949664,.64314024135103,.463199653565974,.0100184293127255,.581933293695454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.316666666666667,-33,1,30,.365145484637469,.859783786800586,.569555576920858,.021157166059703,.511606305833105,-.00152592633646519
33,42657,1251.75,634.02,1,.515928725701944,.510014494663328,.640919209332686,.43603634650913,.010077436262697,.567288766514875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.311111111111111,-34,1,30,.35240010338754,.854907159249453,.573665617338653,-.0577368916367091,.511776035633171,-.00176154096984216
34,42658,1251.75,637.94,0,.566144708423326,.510278033996574,.638550889584414,.461538264982946,.0101429638500361,.56677016308752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.305555555555556,-35,1,30,.357192242239321,.854734464308144,.56947918356799,-.003334475144664,.511686774328852,-.00140874033227765
35,42659,1251.75,641.42,0,.566144708423326,.510278033996574,.636182569836142,.487230055672707,.0102285672913395,.561938500693361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3,-36,1,30,.362047608539012,.853125520730889,.570774519305767,-.00462981088244059,.511717006665408,-.00143897266883415
36,42660,1254.8,638.97,1,.582613390928726,.509948609830017,.633916347264297,.528932779292598,.0102412873524112,.553707416810818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.294444444444445,-37,1,30,.372234615504435,.850384569798003,.572912551786112,.00970083914261316,.511735913095531,-.00178730326551433
37,42661,1258.2,636.29,1,.584503239740821,.509948609830017,.632071903191792,.568205952166163,.0102423473575005,.54674814668343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.288888888888889,-38,1,30,.381612582071332,.848067132845582,.568823073491514,.0156801662493076,.511725488808902,-.00177687897888443
38,42662,1269.05,629.25,1,.624730021598272,.50961918566346,.63159489179373,.633977805770603,.010227025465755,.531296408532905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.283333333333333,-39,1,30,.399814609321611,.842921704041457,.567833396569736,.0568966250285358,.511721942390154,-.00210275672669402
39,42663,1271.65,627.72,1,.580183585313176,.510014494663328,.631670209382898,.647625298555419,.0101941974293528,.532543648390066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.277777777777778,-40,1,30,.400659224418955,.843337034913892,.574171614693331,.00601197061984488,.511638786795496,-.00162429213216757
40,42664,1266.05,631.92,1,.535907127429805,.510343918829885,.632056839673958,.612097712153262,.0101636821313272,.548068357904801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.272222222222222,-41,1,30,.385128538147036,.848506763182299,.568732575704197,-.032825448274392,.511650336981329,-.00130641815144406
41,42665,1266.05,655.48,0,.566144708423326,.511595730662801,.632301203407702,.609372369047925,.010216714507159,.599547149187433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.266666666666667,-42,1,30,.380520998892959,.865649200679415,.570952681725361,-.00480797330203463,.511787860124013,-.000192129461211973
42,42666,1266.05,653.25,0,.566144708423326,.509948609830017,.632545567141446,.606649131640745,.0102711923444762,.585079145265945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.261111111111111,-43,1,30,.375914160836368,.86083135537356,.566658481375647,-.000513772952320602,.511618414168736,-.00166980433871932
43,42667,1265.55,651.39,1,.563444924406048,.510014494663328,.632773193633153,.601332447058283,.010342309049559,.569059565038509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.255555555555555,-44,1,30,.370443704870408,.855496835157824,.567361980957469,-.00391705655142123,.511814019205025,-.00179952454169647
44,42668,1269.4,655.31,1,.586933045356372,.510278033996574,.63310459102549,.619055887321893,.0104309318992985,.564924520870443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.25,-45,1,30,.372645610478191,.854119865449857,.561372323068416,.0255607222879562,.51173936649826,-.00146133250168565
45,42669,1270.5,651.45,1,.572084233261339,.509882724996706,.633675330978961,.618809451800328,.0104936649277658,.545628349020041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.244444444444444,-46,1,30,.368863547449509,.847694240223674,.566808787757266,.00527544550407228,.511717310652573,-.00183458565586711
46,42670,1266.25,682.22,1,.543196544276458,.512056924495981,.634001707198687,.591575734888573,.0105795574613662,.608038135113274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.238888888888889,-47,1,30,.356094719717895,.86847669899272,.568550497114835,-.0253539528383772,.51176465625431,.000292268241671341
47,42671,1273,687.68,1,.602591792656588,.510409803663197,.634401727283378,.62460083473028,.0106901513256841,.603979368901853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.233333333333333,-48,1,30,.363392077965183,.867125129844317,.567787325846869,.0348044668097188,.511542365324499,-.00113256166130253
48,42672,1273,685.91,0,.566144708423326,.510014494663328,.635113060069961,.616688592962576,.0108010342822992,.582584562286094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.227777777777778,-49,1,30,.357057301456538,.860000659241269,.567713646744572,-.00156893832124593,.511777704719775,-.00176321005644697
49,42673,1273,698,0,.566144708423326,.510870997496376,.635824392856545,.608794054941527,.0109381603952162,.590609865766553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222222222222222,-50,1,30,.350728420295528,.862673085300262,.568492332304212,-.00234762388088621,.511637798928724,-.000766801432348066
50,42674,1272,702,1,.560745140388769,.510343918829885,.636502251159054,.59575631505735,.0111005339020785,.575734662832952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.216666666666667,-51,1,30,.342686852914098,.857719642723373,.56500151129249,-.00425637090372108,.511668960336193,-.00132504150630786
51,42675,1288.45,697.01,1,.654967602591793,.509816840163394,.637628667548161,.674153768890964,.0111480414028994,.557121178472231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.211111111111111,-52,1,30,.365093205040691,.851521352431253,.567390878013354,.0875767245784396,.511874712126561,-.00205787196316687
52,42676,1303.75,733.33,1,.648758099352052,.512452233495849,.639153430297755,.74145789040642,.0112946754402538,.619518954285165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.205555555555555,-53,1,30,.383805477505338,.87229981177696,.56897759154583,.0797805078062221,.511746501344474,.000705732151375344
53,42677,1301,686.17,1,.551295896328294,.506983792331005,.640222940063936,.714339131338363,.0112955105957787,.511024324725101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.2,-54,1,30,.371074930735675,.836171100133459,.565050457129199,-.013754560800905,.511521215731547,-.00453742340054192
54,42678,1302.8,683.69,1,.575863930885529,.509948609830017,.641265670242857,.712588154536183,.0112495449205423,.511744860046368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.194444444444444,-55,1,30,.366791855460549,.836411038395441,.569335911620331,.00652801926519831,.511984092610052,-.00203548278003461
55,42679,1302.8,704.79,0,.566144708423326,.511463960996179,.642495857532595,.698893395918822,.011258506781752,.55913469553282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.188888888888889,-56,1,30,.358531500840968,.852191853612429,.566538135375142,-.000393426951815773,.511427728240861,3.62327553174702E-005
56,42680,1302.8,712,0,.566144708423326,.510541573329819,.643726044822334,.685250979809962,.0113066567098997,.568766774055714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.183333333333333,-57,1,30,.350288576276718,.855399335760553,.568836526549551,-.00269181812622434,.511733295155951,-.00119172182613192
57,42681,1283.05,709.96,1,.459503239740821,.509948609830017,.644295111051601,.571039305123805,.0112315890767568,.574976757162141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.177777777777778,-58,1,30,.308556088606227,.857467260134993,.558201019533648,-.0986977797928276,.511764993623708,-.00181638379369081
58,42682,1282.35,708.97,1,.562365010799136,.51008037949664,.644857482384052,.561103589646221,.0113048257920181,.562074529282947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.172222222222222,-59,1,30,.301547495352192,.853170818251221,.559955848870324,.00240916192881143,.511728086171173,-.00164770667453347
59,42683,1281.4,720.93,1,.561015118790498,.510805112663065,.645259176192947,.551562024157213,.0114244457602784,.572203422219791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.166666666666667,-60,1,30,.294670154044352,.856543739599191,.563670457330856,-.00265533854035824,.511797431569939,-.000992318906873679
60,42684,1267.5,721.5,1,.49109071274298,.51008037949664,.645158752740723,.476799177097408,.011478120563437,.565832926728134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.161111111111111,-61,1,30,.266074125973437,.854422364600469,.563643544991211,-.0725528322482303,.511509089028751,-.00142870953211121
61,42685,1236.45,715.45,1,.398488120950324,.509685070496772,.644161213115303,.317810619192585,.0114892024348253,.550591141616476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.155555555555556,-62,1,30,.209430936191131,.849346850158287,.565884913510472,-.167396792560148,.511943478657443,-.00225840816067126
62,42686,1236.45,703.71,0,.566144708423326,.509355646330215,.642937720722379,.33067023737655,.0114691265808611,.526851179212661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.15,-63,1,30,.210013189046391,.841441442677816,.565222345109264,.000922363314062075,.51196217264502,-.00260652631480525
63,42687,1236.45,702.28,0,.566144708423326,.510014494663328,.641714228329456,.343578891858388,.0114476373867778,.526598388920654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.144444444444444,-64,1,30,.210611770988843,.841357263510578,.574754308995777,-.00860960057245115,.511400970861262,-.00138647619793344
64,42688,1213.6,706.46,1,.442764578833693,.510343918829885,.639725843975429,.238913560334191,.0114011577696799,.542606261785204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.138888888888889,-65,1,30,.172058215591286,.846687885174473,.566314133686545,-.123549554852852,.511567555847719,-.00122363701783388
65,42689,1226.95,710.91,1,.638228941684666,.510343918829885,.638217818467873,.3283366655805,.011367141242723,.557580609104917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.133333333333333,-66,1,30,.198136109638307,.851674342831938,.570817948912645,.0674109927720207,.511814605576172,-.00147068674628628
66,42690,1229.2,711.73,1,.57829373650108,.51008037949664,.636234455286458,.361885693443263,.0113551920944435,.561163234851354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.127777777777778,-67,1,30,.205607935916607,.852867357205501,.572834767040675,.00545896946040512,.51175429856167,-.00167391906503016
67,42691,1226.75,736.96,1,.552915766738661,.511727500329424,.63365692001272,.375941052761373,.011461995637533,.603138122560426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.122222222222222,-68,1,30,.206588370569537,.866844994812622,.586841628119501,-.0339258613808406,.511672057315011,5.54430144135453E-005
68,42692,1211,747.52,1,.48110151187905,.510739227829754,.630644216446014,.320576801638019,.0116073126988674,.605858900806938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.116666666666667,-69,1,30,.18445207494546,.86775101396871,.569804562063376,-.0887030501843263,.511570874625862,-.000831646796108603
69,42693,1211,748.98,0,.566144708423326,.510146264329951,.627571258807973,.353679772566254,.0117438927485566,.589645268592918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.111111111111111,-70,1,30,.191775364264563,.862351874441442,.576314104050453,-.0101693956271269,.511884673735994,-.00173840940604291
70,42694,1211,729.06,0,.566144708423326,.508828567663724,.624498301169933,.387108521890253,.0118021930284686,.537658560605057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.105555555555556,-71,1,30,.199207137789454,.845040300681484,.579968263264394,-.0138235548410675,.511861425284802,-.00303285762107856
71,42695,1214.25,738.53,1,.583693304535637,.510673342996442,.621534135605135,.438076078637199,.011888278290267,.546724314590727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.111111111111111,-70,1,30,.219879334186187,.848059196758712,.564343116585357,.0193501879502804,.511750411557609,-.00107706856116655
72,42696,1212.25,736.97,1,.555345572354212,.510014494663328,.619164142132659,.453030858233028,.0118883104116334,.543313949438709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.116666666666667,-69,1,30,.228559275791598,.84692354516309,.572174284179493,-.0168287118252815,.511460554077063,-.00144605941373478
73,42697,1185.35,741.63,1,.420896328293736,.510343918829885,.615917117177431,.335608937321786,.0118693909268575,.556069315372265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.122222222222222,-68,1,30,.193157776128155,.851171082018964,.569864549301182,-.148968221007446,.511751791709094,-.00140787287920858
74,42698,1186.1,737.45,1,.570194384449244,.509816840163394,.61272699884513,.375194127005074,.0118323549914644,.551976158764123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.127777777777778,-67,1,30,.21003964429269,.849808060868453,.578354883918804,-.00816049946955947,.51172190491707,-.00190506475367583
75,42699,1187.7,735.64,1,.574784017278619,.510014494663328,.610055735015984,.414268711810861,.0118534908505179,.545128169114567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.133333333333333,-66,1,30,.226751481033017,.847527680315151,.567697639452132,.0070863778264867,.5116353980786,-.00162090341527181
76,42700,1187.7,733.67,0,.566144708423326,.510014494663328,.608423853917351,.432652425214678,.0118378798664753,.542932972426975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.138888888888889,-65,1,30,.236573257596488,.846796679818183,.57351195310888,-.00736724468555346,.511622914322117,-.00160841965878816
77,42701,1187.7,727.96,0,.566144708423326,.509750955330083,.606791972818719,.451135019407201,.0118089385154006,.534324853594293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.144444444444444,-64,1,30,.246427961462598,.8439301762469,.565735939530285,.00040876889304143,.511837976173352,-.00208702084326921
78,42702,1187,727.31,1,.562365010799136,.51008037949664,.605136659581234,.465912372834505,.0117629407187978,.539147455174987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.15,-63,1,30,.25504882015389,.845536102573271,.571739880032368,-.0093748692332324,.511903781653234,-.00182340215659456
79,42703,1186.55,732.71,1,.563714902807775,.510409803663197,.604231174787018,.473639207186401,.0117477151911514,.553158588268486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.155555555555556,-62,1,30,.261321855993071,.850201809893406,.581927969050638,-.0182130662428632,.511645827396158,-.00123602373296173
80,42704,1178.1,742.69,1,.520518358531317,.510673342996442,.602595946239978,.443032049743139,.011770360754423,.5720519821399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.161111111111111,-61,1,30,.254829672564465,.856493310052587,.570068739248379,-.0495503807170613,.511560931306598,-.000887588310155628
81,42705,1161.85,742.05,1,.478401727861771,.51008037949664,.60034143973756,.373585102120094,.0117972784594182,.566906930536245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.166666666666667,-60,1,30,.235403839005991,.85478000786857,.572798012741493,-.094396284879722,.511708067629489,-.00162768813284916
82,42706,1173.5,772.43,1,.629049676025919,.512056924495981,.598558923460592,.462397996284503,.0119401221755442,.613417014518794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.172222222222222,-59,1,30,.268678532762739,.870267865834759,.568759060256337,.0602906157695817,.511793389817755,.00026353467822559
83,42707,1173.5,764.33,0,.566144708423326,.509553300830149,.597303630307797,.476903736950437,.0120590354737449,.579424285409267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.177777777777778,-58,1,30,.277208944404496,.858948287041286,.56857698257596,-.00243227415263388,.51158853133734,-.00203523050719098
84,42708,1173.5,762.97,0,.566144708423326,.510014494663328,.596048337155003,.491470576543418,.0121562347282979,.563365916648711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.183333333333333,-57,1,30,.285759701988958,.853600850244021,.569789057442051,-.003644349018725,.511880862883839,-.00186636822051072
